epoch,total_loss,adversarial_loss,similarity_loss,validity_rate,molecular_change_rate,learning_rate,timestamp
0,1.9423140798296248,0.6961861167635236,12.349930490766253,0.9712247670807453,96.07435976772729,0.0001,2025-07-02T18:10:26.520524
1,1.9455458266394479,0.7230217371668134,10.456764766148158,0.9866071428571429,94.90942505158203,0.0001,2025-07-02T18:25:04.310213
2,1.888154353414263,0.7020447850227356,9.220117160252162,0.9835015527950312,89.12241792402256,0.0001,2025-07-02T19:27:58.351314
3,1.8632367508752006,0.7013733897890363,8.134323256356376,0.9879658385093169,84.23861660149623,0.0001,2025-07-02T19:43:48.376027
4,1.8314406531197684,0.696074766772134,7.137556076049805,0.9884025621118012,79.4920494363054,0.0001,2025-07-02T19:59:12.382699
5,1.814445972442627,0.7031883086477008,6.1985393932887485,0.9868497670807453,71.29555234167158,0.0001,2025-07-02T20:15:01.924325
6,1.7502226999827795,0.6785909788949149,5.463511058262417,0.9901979813664596,65.1439663792026,0.0001,2025-07-02T20:29:06.765789
7,1.71922653062003,0.6750597783497402,4.851074491228376,0.9890819099378882,59.25631784866177,0.0001,2025-07-02T20:45:04.892401
8,1.7152904101780482,0.6834855164800372,4.383096081869943,0.990634704968944,58.912731530124674,0.0001,2025-07-02T21:00:03.317188
9,1.7214119604655675,0.6875386578696114,4.0686399936676025,0.9917507763975155,52.42927008780496,0.0001,2025-07-02T21:15:16.664350
10,1.724798594202314,0.6878853184836251,3.8784721238272533,0.9950989906832298,51.88409334307113,0.0001,2025-07-02T21:29:59.092401
11,1.7081223045076643,0.7003780433109829,3.471050194331578,0.9966517857142857,49.05315419132391,0.0001,2025-07-02T21:44:13.633578
12,1.6592031036104475,0.6753717660903931,3.288923536028181,0.9895186335403726,45.994800100536885,0.0001,2025-07-02T21:58:09.096010
13,1.642538275037493,0.6725745286260333,3.118601015635899,0.9944196428571429,44.64667071895516,0.0001,2025-07-02T22:13:14.538569
14,1.649281348500933,0.6767635941505432,3.0618177822657993,0.9962150621118012,44.13925851988282,0.0001,2025-07-02T22:27:03.264489
15,1.6532999958310808,0.6903535553387233,2.875835793358939,0.9933035714285714,44.27459293228874,0.0001,2025-07-02T22:41:28.536424
16,1.6462298801967077,0.6873253498758588,2.8255791323525563,0.9910714285714286,41.51227655646306,0.0001,2025-07-02T22:56:19.332347
17,1.610913600240435,0.6701944811003548,2.745349032538278,0.9944196428571429,39.72312139651022,0.0001,2025-07-02T23:09:54.097423
18,1.5841020515986852,0.6640527674130031,2.6389731679643904,0.9890819099378882,40.6811648543932,0.0001,2025-07-02T23:29:54.505314
